image,name,price
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwa2638a72/images/product/61788_3.jpg?sw=400&sh=400&q=1,Ocean Salt,$24.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwf6c713b1/images/product/61060_2.jpg?sw=400&sh=400&q=1,Bright And Beautiful,$26.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwa5466144/images/product/61067_2.jpg?sw=400&sh=400&q=1,Happy Skin,$26.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwc31529b8/images/product/06025_a.jpg?sw=400&sh=400&q=1,Angels on Bare Skin,$18.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwd686fd51/images/product/05371_a.jpg?sw=400&sh=400&q=1,Kalamazoo,$15.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwe4b4d132/images/product/05234_1_1.jpg?sw=400&sh=400&q=1,Ocean Salt Self-preserving,$24.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwc6f73ed5/images/product/06940_a.jpg?sw=400&sh=400&q=1,Herbalism,$18.50
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwb13ec8bb/images/product/02749_a.jpg?sw=400&sh=400&q=1,Ultrabland,$22.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwac58f91e/images/product/06306_100.jpg?sw=400&sh=400&q=1,Let the Good Times Roll,$18.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw2f9b2c24/images/product/06938_a.jpg?sw=400&sh=400&q=1,Dark Angels,$18.50
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwa1ba2533/images/product/08211.jpg?sw=400&sh=400&q=1,Charcoal,$18.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw0cad555b/images/product/06939_a.jpg?sw=400&sh=400&q=1,Aqua Marina,$18.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw0bd5bd8f/images/product/02896_a.jpg?sw=400&sh=400&q=1,Grease Lightning,$19.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwfaa25d75/images/product/08214.jpg?sw=400&sh=400&q=1,Fresh Farmacy,$18.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw1dacd696/images/product/01169.jpg?sw=400&sh=400&q=1,Sleepy Face,$15.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw3a706c67/images/product/08288.jpg?sw=400&sh=400&q=1,Movis,$18.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw626cc23f/images/product/01168.jpg?sw=400&sh=400&q=1,Tea Totaler,$15.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw645a5df6/images/product/05416_1.jpg?sw=400&sh=400&q=1,Aloe Bamboo,$15.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwadd9d324/images/product/09065-ultraplant-cleanser-1.jpg?sw=400&sh=400&q=1,Ultraplant,$22.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dwaacc6c25/images/product/09058.jpg?sw=400&sh=400&q=1,7 To 3,$4.00
https://www.lushusa.com/dw/image/v2/BDMQ_PRD/on/demandware.static/-/Sites-lushcosmetics-export/default/dw50f2c3c2/images/product/05418_1.jpg?sw=400&sh=400&q=1,Illipe Of Faith,$15.00
